Tag,Color
GER,"rgb(147, 130, 110)"
GBR,"rgb(2, 2, 2)"
SCA,"rgb(62, 122, 189)"
RUS,"rgb(47, 91, 18)"
FRA,"rgb(20, 50, 210)"
PRU,"rgb(0, 49, 83)"
WES,"rgb(5, 85, 5)"
POM,"rgb(177, 51, 34)"
AUS,"rgb(211, 220, 240)"
USA,"rgb(66, 94, 193)"
CSA,"rgb(190, 186, 202)"
FSA,"rgb(106, 124, 243)"
ASA,"rgb(212, 100, 141)"
LOU,"rgb(53, 52, 144)"
AGJ,"rgb(111, 56, 200)"
AMZ,"rgb(42, 102, 64)"
GRI,"rgb(203, 32, 83)"
JAP,"rgb(194, 53, 60)"
ITA,"rgb(125, 171, 84)"
KUK,"rgb(190, 90, 95)"
DEN,"rgb(1, 1, 1)"
FIN,"rgb(205, 212, 228)"
NOR,"rgb(117, 165, 188)"
SWE,"rgb(87, 130, 199)"
SCN,"rgb(251, 161, 22)"
BEL,"rgb(235, 200, 127)"
CAT,"rgb(213, 132, 76)"
FLA,"rgb(43, 141, 172)"
IRE,"rgb(112, 150, 105)"
NET,"rgb(204, 95, 40)"
POR,"rgb(28, 82, 148)"
SCO,"rgb(199, 175, 12)"
ALA,"rgb(0, 140, 230)"
ENG,"rgb(180, 99, 58)"
ULS,"rgb(204, 84, 40)"
WLS,"rgb(121, 126, 148)"
NAV,"rgb(252, 233, 58)"
SPA,"rgb(211, 136, 6)"
WLL,"rgb(131, 141, 142)"
ANH,"rgb(203, 93, 124)"
BAD,"rgb(118, 229, 215)"
BAV,"rgb(121, 175, 235)"
BRA,"rgb(116, 92, 39)"
BRE,"rgb(33, 101, 137)"
DZG,"rgb(78, 129, 151)"
FRM,"rgb(243, 201, 33)"
HAM,"rgb(104, 148, 71)"
HAN,"rgb(164, 217, 127)"
HES,"rgb(146, 108, 146)"
HOL,"rgb(220, 150, 158)"
LUB,"rgb(48, 164, 51)"
LUX,"rgb(53, 140, 73)"
MEC,"rgb(207, 111, 64)"
NAS,"rgb(107, 94, 169)"
OLD,"rgb(147, 130, 118)"
SAX,"rgb(155, 147, 180)"
WUR,"rgb(111, 162, 128)"
LOM,"rgb(146, 108, 146)"
LUC,"rgb(114, 171, 184)"
MOD,"rgb(241, 252, 151)"
PAP,"rgb(211, 220, 178)"
PAR,"rgb(128, 202, 129)"
PRA,"rgb(128, 202, 129)"
SAR,"rgb(117, 146, 167)"
SIC,"rgb(73, 152, 76)"
TRE,"rgb(208, 104, 44)"
TUS,"rgb(84, 96, 136)"
VEN,"rgb(180, 12, 1)"
BOH,"rgb(161, 139, 40)"
KRA,"rgb(138, 193, 231)"
CRI,"rgb(200, 202, 85)"
EST,"rgb(99, 137, 153)"
HUN,"rgb(152, 85, 92)"
LIT,"rgb(154, 69, 116)"
LAT,"rgb(109, 29, 80)"
POL,"rgb(197, 92, 106)"
GAL,"rgb(13, 81, 130)"
SLV,"rgb(158, 161, 188)"
SWI,"rgb(165, 45, 38)"
TRS,"rgb(211, 207, 173)"
UKR,"rgb(62, 90, 240)"
CZH,"rgb(43, 89, 202)"
ALB,"rgb(181, 72, 106)"
BOS,"rgb(240, 167, 130)"
BUL,"rgb(116, 107, 140)"
CRE,"rgb(165, 111, 159)"
CRO,"rgb(255, 126, 242)"
CYP,"rgb(78, 75, 39)"
GRE,"rgb(122, 180, 210)"
ION,"rgb(153, 141, 117)"
MOL,"rgb(136, 157, 23)"
MON,"rgb(39, 108, 140)"
ROM,"rgb(21, 96, 178)"
SER,"rgb(166, 72, 57)"
SLO,"rgb(65, 91, 126)"
TUR,"rgb(170, 206, 162)"
WAL,"rgb(161, 126, 128)"
YUG,"rgb(50, 60, 100)"
ABU,"rgb(113, 112, 96)"
AFG,"rgb(92, 148, 152)"
ARM,"rgb(128, 63, 128)"
DAG,"rgb(56, 172, 32)"
AZB,"rgb(172, 56, 32)"
BUK,"rgb(147, 82, 173)"
GEO,"rgb(210, 45, 45)"
HDJ,"rgb(121, 229, 215)"
IRQ,"rgb(122, 132, 110)"
KHI,"rgb(188, 123, 103)"
KOK,"rgb(119, 130, 145)"
KAZ,"rgb(110, 150, 190)"
MUG,"rgb(33, 96, 48)"
NEJ,"rgb(209, 219, 116)"
OMA,"rgb(98, 134, 153)"
PER,"rgb(60, 150, 230)"
JAB,"rgb(183, 62, 62)"
YEM,"rgb(255, 191, 191)"
MAH,"rgb(0, 153, 76)"
KAT,"rgb(79, 152, 64)"
ZAI,"rgb(153, 76, 0)"
LAH,"rgb(209, 41, 41)"
BHN,"rgb(169, 51, 51)"
HND,"rgb(150, 77, 240)"
AWA,"rgb(122, 179, 97)"
BAS,"rgb(21, 50, 212)"
BER,"rgb(245, 139, 127)"
BHO,"rgb(154, 129, 35)"
BIK,"rgb(255, 208, 170)"
BUN,"rgb(23, 114, 143)"
GWA,"rgb(153, 237, 145)"
HYD,"rgb(89, 141, 140)"
BGL,"rgb(36, 109, 194)"
IND,"rgb(128, 170, 63)"
JAI,"rgb(79, 89, 182)"
JAS,"rgb(99, 137, 153)"
JOD,"rgb(104, 207, 140)"
KAL,"rgb(97, 98, 195)"
KAS,"rgb(63, 150, 30)"
KUT,"rgb(163, 66, 74)"
LAD,"rgb(49, 175, 191)"
MAK,"rgb(219, 146, 162)"
MEW,"rgb(139, 131, 22)"
MYS,"rgb(236, 242, 243)"
NAG,"rgb(120, 148, 140)"
NEP,"rgb(137, 183, 124)"
ORI,"rgb(210, 106, 47)"
PAN,"rgb(255, 119, 34)"
SIK,"rgb(139, 138, 160)"
SIN,"rgb(135, 104, 85)"
TRA,"rgb(134, 166, 117)"
ACE,"rgb(73, 152, 76)"
BAL,"rgb(201, 97, 74)"
BHU,"rgb(93, 180, 76)"
LAN,"rgb(141, 89, 174)"
BRU,"rgb(41, 89, 174)"
BUR,"rgb(109, 168, 127)"
CAM,"rgb(127, 180, 60)"
CHI,"rgb(252, 185, 61)"
DAI,"rgb(136, 117, 90)"
JAV,"rgb(164, 217, 127)"
KOR,"rgb(157, 144, 97)"
LAO,"rgb(188, 15, 45)"
LUA,"rgb(93, 147, 88)"
CHP,"rgb(75, 112, 99)"
VIE,"rgb(151, 174, 28)"
JOH,"rgb(165, 151, 80)"
SIA,"rgb(88, 137, 172)"
CMI,"rgb(17, 16, 203)"
TIB,"rgb(65, 127, 186)"
MGL,"rgb(255, 224, 124)"
XIN,"rgb(255, 234, 174)"
PHI,"rgb(92, 87, 122)"
MCH,"rgb(255, 254, 124)"
CAL,"rgb(144, 181, 106)"
CAN,"rgb(113, 53, 63)"
CHE,"rgb(105, 145, 40)"
COL,"rgb(198, 113, 133)"
COS,"rgb(207, 72, 60)"
CUB,"rgb(87, 192, 204)"
